# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     39.46     -29.33       4.00       0.00       0.00       0.29       0.79       0.00    4.522        './gold_soln_AV-procd_m3859_5.sdf'   'AV-unprocessed.smi:828'
     39.71     -26.74       4.68       0.00       0.00       0.00       0.53       0.00    6.467        './gold_soln_AV-procd_m3860_3.sdf'   'AV-unprocessed.smi:828'
     40.05     -30.17       3.90       0.00       0.00       0.00       0.92       0.00    1.988        './gold_soln_AV-procd_m3861_3.sdf'   'AV-unprocessed.smi:828'
     43.11     -38.38       2.00       0.00       0.00       0.00       0.64       0.02    7.414        './gold_soln_AV-procd_m3862_3.sdf'   'AV-unprocessed.smi:828'
     42.42     -28.56       5.17       0.00       0.00       0.00       0.87       0.01    6.666        './gold_soln_AV-procd_m3863_1.sdf'   'AV-unprocessed.smi:828'
     42.53     -32.27       3.79       0.00       0.00       0.00       0.56       0.01    7.417       './gold_soln_AV-procd_m3864_10.sdf'   'AV-unprocessed.smi:828'
     41.63     -33.93       3.00       0.00       0.00       0.00       0.66       0.00    7.334        './gold_soln_AV-procd_m3865_5.sdf'   'AV-unprocessed.smi:828'
     49.33     -44.18       1.00       1.00       0.00       0.00       0.45       0.04    7.362       './gold_soln_AV-procd_m3866_10.sdf'   'AV-unprocessed.smi:829'
     52.46     -41.41       4.00       0.00       0.00       0.00       0.49       0.03    7.477        './gold_soln_AV-procd_m3867_4.sdf'   'AV-unprocessed.smi:829'
     50.94     -38.32       4.90       0.00       0.00       0.00       1.05       0.04    7.321        './gold_soln_AV-procd_m3868_4.sdf'   'AV-unprocessed.smi:829'
     45.65     -34.37       4.00       0.00       0.00       0.00       0.39       0.05    2.214        './gold_soln_AV-procd_m3869_3.sdf'   'AV-unprocessed.smi:829'
     47.17     -37.70       3.59       0.00       0.00       0.00       0.90       0.44    9.463        './gold_soln_AV-procd_m3870_2.sdf'   'AV-unprocessed.smi:830'
     48.78     -43.72       2.27       0.00       0.00       0.00       1.08       0.33    9.479        './gold_soln_AV-procd_m3871_2.sdf'   'AV-unprocessed.smi:830'
     49.62     -42.33       2.94       0.00       0.00       0.00       0.99       0.46    9.523        './gold_soln_AV-procd_m3872_8.sdf'   'AV-unprocessed.smi:830'
     46.49     -39.82       2.56       0.00       0.00       0.00       0.61       0.20    4.898        './gold_soln_AV-procd_m3873_5.sdf'   'AV-unprocessed.smi:830'
     50.94     -44.11       2.77       0.00       0.00       0.00       0.95       0.42   11.592       './gold_soln_AV-procd_m3874_10.sdf'   'AV-unprocessed.smi:831'
     49.13     -42.37       2.54       0.00       0.00       0.00       0.62       0.38   11.723        './gold_soln_AV-procd_m3875_4.sdf'   'AV-unprocessed.smi:831'
     41.91     -33.63       3.15       0.00       0.00       0.00       0.61       0.04    2.337        './gold_soln_AV-procd_m3876_1.sdf'   'AV-unprocessed.smi:832'
     47.62     -35.85       4.55       0.00       0.00       0.00       0.95       0.02    2.271        './gold_soln_AV-procd_m3877_1.sdf'   'AV-unprocessed.smi:832'
     46.42     -35.97       4.38       0.00       0.00       0.00       1.36       0.03    5.428        './gold_soln_AV-procd_m3878_1.sdf'   'AV-unprocessed.smi:832'
     47.81     -36.73       4.46       0.00       0.00       0.00       1.17       0.02    7.699        './gold_soln_AV-procd_m3879_5.sdf'   'AV-unprocessed.smi:832'
     50.62     -40.26       2.99       1.00       0.00       0.00       0.96       0.31    8.995        './gold_soln_AV-procd_m3880_5.sdf'   'AV-unprocessed.smi:833'
     49.78     -44.84       2.00       0.00       0.00       0.00       0.69       0.33    9.014       './gold_soln_AV-procd_m3881_10.sdf'   'AV-unprocessed.smi:833'
     49.80     -36.30       5.00       0.00       0.00       0.00       0.95       0.40    8.853        './gold_soln_AV-procd_m3882_5.sdf'   'AV-unprocessed.smi:833'
     51.12     -45.89       2.00       0.00       0.00       0.00       0.58       0.38    8.812        './gold_soln_AV-procd_m3883_3.sdf'   'AV-unprocessed.smi:833'
     47.35     -39.13       2.93       0.00       0.00       0.00       0.30       0.02    9.053        './gold_soln_AV-procd_m3884_3.sdf'   'AV-unprocessed.smi:834'
     50.04     -36.17       4.91       0.00       0.00       0.00       0.49       0.09   10.691        './gold_soln_AV-procd_m3885_5.sdf'   'AV-unprocessed.smi:834'
     44.69     -36.96       2.86       0.00       0.00       0.00       1.05       1.27    5.890        './gold_soln_AV-procd_m3886_4.sdf'   'AV-unprocessed.smi:835'
     48.02     -34.95       4.80       0.00       0.00       0.00       1.30       1.26    5.939        './gold_soln_AV-procd_m3887_8.sdf'   'AV-unprocessed.smi:835'
     46.84     -39.82       2.56       0.00       0.00       0.00       0.96       1.26    5.967        './gold_soln_AV-procd_m3888_4.sdf'   'AV-unprocessed.smi:835'
     46.86     -39.22       2.56       0.00       0.00       0.00       0.66       1.27    2.355        './gold_soln_AV-procd_m3889_1.sdf'   'AV-unprocessed.smi:835'
     47.95     -46.16       1.00       0.00       0.00       0.00       0.61       0.00    6.760        './gold_soln_AV-procd_m3890_5.sdf'   'AV-unprocessed.smi:836'
     47.60     -46.19       1.00       0.00       0.00       0.00       0.80       0.02    6.664        './gold_soln_AV-procd_m3891_3.sdf'   'AV-unprocessed.smi:836'
     51.37     -41.54       3.46       0.00       0.00       0.00       0.30       0.04    6.412        './gold_soln_AV-procd_m3892_1.sdf'   'AV-unprocessed.smi:837'
     52.75     -47.25       2.09       0.00       0.00       0.00       0.42       0.03    8.965        './gold_soln_AV-procd_m3893_2.sdf'   'AV-unprocessed.smi:837'
     53.09     -42.49       2.96       0.88       0.00       0.00       0.48       0.04    6.297        './gold_soln_AV-procd_m3894_2.sdf'   'AV-unprocessed.smi:837'
     49.65     -37.95       2.48       1.77       0.00       0.00       0.53       0.01    8.940       './gold_soln_AV-procd_m3895_10.sdf'   'AV-unprocessed.smi:837'
     51.52     -40.98       3.85       0.00       0.00       0.00       0.54       0.04    2.652        './gold_soln_AV-procd_m3896_1.sdf'   'AV-unprocessed.smi:837'
     48.91     -42.93       2.13       0.00       0.00       0.00       0.23       0.03    8.807        './gold_soln_AV-procd_m3897_3.sdf'   'AV-unprocessed.smi:837'
     54.02     -42.70       4.11       0.00       0.00       0.00       0.53       0.03    8.727        './gold_soln_AV-procd_m3898_7.sdf'   'AV-unprocessed.smi:837'
     53.19     -40.37       4.65       0.00       0.00       0.00       0.58       0.04    8.792        './gold_soln_AV-procd_m3899_5.sdf'   'AV-unprocessed.smi:837'
     54.85     -41.29       4.75       0.00       0.00       0.00       0.36       0.02    9.329        './gold_soln_AV-procd_m3900_8.sdf'   'AV-unprocessed.smi:837'
     49.58     -47.13       1.00       0.00       0.00       0.00       0.29       0.03    9.296        './gold_soln_AV-procd_m3901_9.sdf'   'AV-unprocessed.smi:837'
     53.13     -47.62       2.55       0.00       0.00       0.00       1.07       0.02    9.336        './gold_soln_AV-procd_m3902_9.sdf'   'AV-unprocessed.smi:837'
     55.22     -45.70       3.56       0.00       0.00       0.00       0.60       0.03    9.319        './gold_soln_AV-procd_m3903_6.sdf'   'AV-unprocessed.smi:837'
     53.92     -43.35       3.70       0.00       0.00       0.00       0.27       0.02    6.449        './gold_soln_AV-procd_m3904_2.sdf'   'AV-unprocessed.smi:837'
     50.34     -35.12       5.46       0.00       0.00       0.00       0.61       0.03    9.112        './gold_soln_AV-procd_m3905_3.sdf'   'AV-unprocessed.smi:837'
     49.84     -36.29       4.99       0.00       0.00       0.00       0.73       0.03    2.774        './gold_soln_AV-procd_m3906_3.sdf'   'AV-unprocessed.smi:837'
     54.58     -40.47       5.02       0.00       0.00       0.00       0.49       0.03    9.120        './gold_soln_AV-procd_m3907_8.sdf'   'AV-unprocessed.smi:837'
     48.87     -38.82       3.45       0.00       0.00       0.00       0.15       0.02    8.882       './gold_soln_AV-procd_m3908_10.sdf'   'AV-unprocessed.smi:838'
     49.95     -40.46       2.90       0.99       0.00       0.00       1.12       0.04    9.082        './gold_soln_AV-procd_m3909_3.sdf'   'AV-unprocessed.smi:838'
     47.92     -43.46       1.94       0.00       0.00       0.00       0.85       0.34    7.047        './gold_soln_AV-procd_m3910_2.sdf'   'AV-unprocessed.smi:839'
     43.07     -33.51       2.93       1.00       0.00       0.00       1.12       0.01    2.222        './gold_soln_AV-procd_m3911_3.sdf'   'AV-unprocessed.smi:840'
     41.06     -32.93       2.60       0.78       0.00       0.00       1.00       0.01    2.955        './gold_soln_AV-procd_m3912_4.sdf'   'AV-unprocessed.smi:840'
     52.67     -39.61       2.65       1.98       0.00       0.00       0.46       0.05    8.712        './gold_soln_AV-procd_m3913_4.sdf'   'AV-unprocessed.smi:840'
     50.91     -37.84       4.72       0.00       0.00       0.00       0.55       0.02    8.871        './gold_soln_AV-procd_m3914_6.sdf'   'AV-unprocessed.smi:840'
     43.65     -38.78       1.93       0.00       0.00       0.00       0.46       0.01    5.531        './gold_soln_AV-procd_m3915_7.sdf'   'AV-unprocessed.smi:841'
     43.78     -36.19       1.83       1.00       0.00       0.00       0.45       0.01    6.907        './gold_soln_AV-procd_m3916_6.sdf'   'AV-unprocessed.smi:841'
     44.34     -37.75       2.83       0.00       0.00       0.00       1.09       0.29    3.887        './gold_soln_AV-procd_m3917_3.sdf'   'AV-unprocessed.smi:842'
     43.08     -34.89       2.90       0.00       0.00       0.00       0.29       0.09    3.264        './gold_soln_AV-procd_m3918_3.sdf'   'AV-unprocessed.smi:842'
     49.03     -37.43       3.98       0.00       0.00       0.00       0.22       0.04    4.298        './gold_soln_AV-procd_m3919_1.sdf'   'AV-unprocessed.smi:842'
     52.00     -43.02       4.00       0.00       0.00       0.00       1.64       0.26    2.729        './gold_soln_AV-procd_m3920_3.sdf'   'AV-unprocessed.smi:842'
     48.20     -37.07       2.86       1.00       0.00       0.00       0.24       0.02    3.685        './gold_soln_AV-procd_m3921_2.sdf'   'AV-unprocessed.smi:843'
     54.77     -38.53       4.82       1.00       0.00       0.00       0.69       0.03    9.050        './gold_soln_AV-procd_m3922_1.sdf'   'AV-unprocessed.smi:843'
     56.54     -52.86       1.96       0.00       0.00       0.00       1.11       0.01    4.638        './gold_soln_AV-procd_m3923_6.sdf'   'AV-unprocessed.smi:844'
     55.64     -50.67       2.00       0.00       0.00       0.00       0.52       0.01    6.724        './gold_soln_AV-procd_m3924_5.sdf'   'AV-unprocessed.smi:844'
     58.60     -52.74       1.85       0.95       0.00       0.00       1.27       0.01    6.128        './gold_soln_AV-procd_m3925_5.sdf'   'AV-unprocessed.smi:844'
     53.12     -49.10       1.98       0.00       0.00       0.00       0.97       0.01    4.846        './gold_soln_AV-procd_m3926_2.sdf'   'AV-unprocessed.smi:844'
     46.61     -32.47       3.90       0.91       0.00       0.00       0.34       0.30    2.842        './gold_soln_AV-procd_m3927_1.sdf'   'AV-unprocessed.smi:845'
     45.73     -30.71       4.86       0.97       0.00       0.00       1.38       0.28    9.533        './gold_soln_AV-procd_m3928_3.sdf'   'AV-unprocessed.smi:845'
     40.78     -31.43       2.91       1.00       0.00       0.00       1.38       0.36    3.723        './gold_soln_AV-procd_m3929_2.sdf'   'AV-unprocessed.smi:845'
     38.53     -27.56       3.00       1.00       0.00       0.00       0.87       0.42    3.702        './gold_soln_AV-procd_m3930_1.sdf'   'AV-unprocessed.smi:845'
     45.96     -38.74       3.00       0.00       0.00       0.00       1.22       0.48   11.101        './gold_soln_AV-procd_m3931_1.sdf'   'AV-unprocessed.smi:845'
     47.12     -34.68       4.80       0.00       0.00       0.00       1.28       0.40   11.066        './gold_soln_AV-procd_m3932_2.sdf'   'AV-unprocessed.smi:845'
     44.41     -40.33       1.99       0.00       0.00       0.00       1.19       0.49   10.253        './gold_soln_AV-procd_m3933_6.sdf'   'AV-unprocessed.smi:845'
     48.81     -37.89       3.74       0.00       0.00       0.00       0.48       0.65    8.173        './gold_soln_AV-procd_m3934_6.sdf'   'AV-unprocessed.smi:845'
     42.01     -31.36       3.86       0.00       0.00       0.00       0.46       0.01    2.314        './gold_soln_AV-procd_m3935_1.sdf'   'AV-unprocessed.smi:846'
     43.90     -37.29       2.73       0.00       0.00       0.00       0.80       0.00    7.584        './gold_soln_AV-procd_m3936_2.sdf'   'AV-unprocessed.smi:846'
     47.45     -39.85       3.00       0.00       0.00       0.01       0.80       0.17   12.525        './gold_soln_AV-procd_m3937_2.sdf'   'AV-unprocessed.smi:847'
     48.82     -44.27       1.78       0.00       0.00       0.00       0.45       0.09   12.739       './gold_soln_AV-procd_m3938_10.sdf'   'AV-unprocessed.smi:847'
     56.18     -48.17       2.98       0.00       0.00       0.00       0.57       0.05   12.434        './gold_soln_AV-procd_m3939_2.sdf'   'AV-unprocessed.smi:848'
     55.09     -49.45       2.00       0.00       0.00       0.00       0.23       0.11   12.663        './gold_soln_AV-procd_m3940_4.sdf'   'AV-unprocessed.smi:848'
     63.54     -50.91       4.75       0.00       0.00       0.00       0.84       0.06   12.822        './gold_soln_AV-procd_m3941_6.sdf'   'AV-unprocessed.smi:848'
     62.71     -52.57       3.90       0.00       0.00       0.00       0.79       0.03   12.736        './gold_soln_AV-procd_m3942_4.sdf'   'AV-unprocessed.smi:848'
     56.17     -50.72       2.77       0.00       0.00       0.00       1.47       0.07    9.317       './gold_soln_AV-procd_m3943_10.sdf'   'AV-unprocessed.smi:849'
     58.90     -51.47       2.68       0.00       0.00       0.00       0.32       0.02    9.332        './gold_soln_AV-procd_m3944_9.sdf'   'AV-unprocessed.smi:849'
     60.13     -49.00       4.00       0.00       0.00       0.00       0.47       0.07    2.792        './gold_soln_AV-procd_m3945_3.sdf'   'AV-unprocessed.smi:849'
     61.76     -51.01       4.00       0.00       0.00       0.00       0.64       0.03    2.754        './gold_soln_AV-procd_m3946_3.sdf'   'AV-unprocessed.smi:849'
     55.76     -52.10       2.00       0.00       0.00       0.00       1.20       0.06    9.554        './gold_soln_AV-procd_m3947_4.sdf'   'AV-unprocessed.smi:850'
     58.28     -57.85       1.00       0.00       0.00       0.00       1.30       0.03    9.299        './gold_soln_AV-procd_m3948_4.sdf'   'AV-unprocessed.smi:850'
     39.61     -29.05       3.84       0.00       0.00       0.00       0.48       0.00    2.576        './gold_soln_AV-procd_m3949_1.sdf'   'AV-unprocessed.smi:851'
     41.32     -30.73       3.66       0.00       0.00       0.00       0.20       0.00    6.457        './gold_soln_AV-procd_m3950_5.sdf'   'AV-unprocessed.smi:851'
     40.62     -37.29       1.29       0.00       0.00       0.00       1.05       1.52    3.782        './gold_soln_AV-procd_m3951_1.sdf'   'AV-unprocessed.smi:852'
     41.45     -36.10       2.00       0.00       0.00       0.00       1.08       1.51    9.394        './gold_soln_AV-procd_m3952_6.sdf'   'AV-unprocessed.smi:852'
     44.64     -37.57       2.15       0.98       0.00       0.00       1.26       0.21    7.590       './gold_soln_AV-procd_m3953_10.sdf'   'AV-unprocessed.smi:853'
     48.39     -40.00       3.00       0.00       0.00       0.00       0.32       0.03    2.243        './gold_soln_AV-procd_m3954_2.sdf'   'AV-unprocessed.smi:853'
     43.24     -31.55       1.94       2.00       0.00       0.00       0.07       0.00    1.382        './gold_soln_AV-procd_m3955_3.sdf'   'AV-unprocessed.smi:854'
     43.97     -31.43       4.52       0.00       0.00       0.00       0.52       0.01    7.636        './gold_soln_AV-procd_m3956_9.sdf'   'AV-unprocessed.smi:855'
     44.87     -28.82       6.00       0.00       0.00       0.00       0.99       0.04    9.217       './gold_soln_AV-procd_m3957_10.sdf'   'AV-unprocessed.smi:855'
     41.49     -32.92       3.99       0.00       0.00       0.00       1.74       0.06    9.100        './gold_soln_AV-procd_m3958_7.sdf'   'AV-unprocessed.smi:855'
     58.11     -51.45       2.74       0.00       0.00       0.00       0.82       0.06   12.683        './gold_soln_AV-procd_m3959_7.sdf'   'AV-unprocessed.smi:856'
     60.73     -52.92       2.06       1.10       0.00       0.00       0.92       0.08   12.757        './gold_soln_AV-procd_m3960_3.sdf'   'AV-unprocessed.smi:856'
     46.39     -35.44       3.99       0.00       0.00       0.00       0.51       0.00    4.973        './gold_soln_AV-procd_m3961_7.sdf'   'AV-unprocessed.smi:857'
     52.13     -41.42       3.77       0.00       0.00       0.00       0.48       0.37    6.892        './gold_soln_AV-procd_m3962_7.sdf'   'AV-unprocessed.smi:858'
     50.10     -37.36       2.98       1.97       0.00       0.00       1.06       0.02    6.950        './gold_soln_AV-procd_m3963_9.sdf'   'AV-unprocessed.smi:859'
     47.52     -45.24       1.00       0.00       0.00       0.00       0.37       0.02    6.864        './gold_soln_AV-procd_m3964_4.sdf'   'AV-unprocessed.smi:859'
     47.25     -42.53       2.00       0.00       0.00       0.00       0.64       0.01    2.072        './gold_soln_AV-procd_m3965_2.sdf'   'AV-unprocessed.smi:860'
     47.86     -37.28       3.86       0.00       0.00       0.00       0.53       0.05    5.625        './gold_soln_AV-procd_m3966_1.sdf'   'AV-unprocessed.smi:861'
     44.79     -33.89       3.82       0.00       0.00       0.00       0.33       0.09    9.463        './gold_soln_AV-procd_m3967_1.sdf'   'AV-unprocessed.smi:861'
     43.62     -34.05       3.68       0.00       0.00       0.00       0.81       0.07    9.413        './gold_soln_AV-procd_m3968_3.sdf'   'AV-unprocessed.smi:861'
     48.68     -37.40       4.00       0.00       0.00       0.00       0.41       0.07    9.336        './gold_soln_AV-procd_m3969_9.sdf'   'AV-unprocessed.smi:861'
     49.08     -41.09       2.94       0.00       0.00       0.00       0.46       0.09    5.711        './gold_soln_AV-procd_m3970_6.sdf'   'AV-unprocessed.smi:861'
     45.08     -35.96       2.25       1.00       0.00       0.00       0.35       0.06    9.544       './gold_soln_AV-procd_m3971_10.sdf'   'AV-unprocessed.smi:861'
     50.90     -31.83       6.49       0.00       0.00       0.00       0.26       0.03    9.497        './gold_soln_AV-procd_m3972_1.sdf'   'AV-unprocessed.smi:861'
     52.53     -39.74       5.00       0.00       0.00       0.00       1.12       0.03    8.564        './gold_soln_AV-procd_m3973_6.sdf'   'AV-unprocessed.smi:861'
     53.08     -32.68       6.99       0.00       0.00       0.00       0.34       0.07    9.516        './gold_soln_AV-procd_m3974_1.sdf'   'AV-unprocessed.smi:861'
     52.27     -41.30       4.00       0.00       0.00       0.00       0.52       0.02    9.494        './gold_soln_AV-procd_m3975_9.sdf'   'AV-unprocessed.smi:861'
     46.03     -39.45       2.00       0.62       0.00       0.60       0.36       0.05    7.337        './gold_soln_AV-procd_m3976_5.sdf'   'AV-unprocessed.smi:862'
     48.50     -35.73       3.00       1.93       0.00       0.00       1.05       0.06    3.676        './gold_soln_AV-procd_m3977_5.sdf'   'AV-unprocessed.smi:862'
     48.21     -41.58       1.00       1.92       0.00       0.00       1.09       0.06    7.286       './gold_soln_AV-procd_m3978_10.sdf'   'AV-unprocessed.smi:862'
     50.97     -48.48       1.00       0.00       0.00       0.00       0.28       0.05    7.225        './gold_soln_AV-procd_m3979_5.sdf'   'AV-unprocessed.smi:862'
     50.92     -42.35       2.98       0.00       0.00       0.00       0.21       0.05    7.278        './gold_soln_AV-procd_m3980_2.sdf'   'AV-unprocessed.smi:862'
     52.25     -38.44       3.93       0.94       0.00       0.00       0.43       0.06    7.202        './gold_soln_AV-procd_m3981_8.sdf'   'AV-unprocessed.smi:862'
     50.13     -37.29       3.71       1.00       0.00       0.00       0.68       0.08    4.350        './gold_soln_AV-procd_m3982_6.sdf'   'AV-unprocessed.smi:862'
     62.92     -47.45       4.81       1.00       0.00       0.54       0.73       0.04    7.160        './gold_soln_AV-procd_m3983_7.sdf'   'AV-unprocessed.smi:862'
     46.43     -46.78       0.00       0.00       0.00       0.00       0.17       0.00    5.900        './gold_soln_AV-procd_m3984_2.sdf'   'AV-unprocessed.smi:863'
     44.08     -35.92       2.79       0.00       0.00       0.00       0.11       0.00    5.968        './gold_soln_AV-procd_m3985_3.sdf'   'AV-unprocessed.smi:863'
     51.72     -40.80       3.00       1.00       0.00       0.00       0.70       0.28    8.544        './gold_soln_AV-procd_m3986_2.sdf'   'AV-unprocessed.smi:864'
     50.65     -39.57       3.11       1.00       0.00       0.00       0.71       0.17    4.296        './gold_soln_AV-procd_m3987_4.sdf'   'AV-unprocessed.smi:864'
     52.67     -41.58       3.99       0.00       0.00       0.00       0.57       0.26    3.385        './gold_soln_AV-procd_m3988_4.sdf'   'AV-unprocessed.smi:864'
     53.75     -40.82       4.66       0.00       0.00       0.00       0.62       0.18    8.391        './gold_soln_AV-procd_m3989_2.sdf'   'AV-unprocessed.smi:864'
     46.70     -38.99       2.96       0.00       0.00       0.00       0.70       0.21   12.904        './gold_soln_AV-procd_m3990_9.sdf'   'AV-unprocessed.smi:865'
     48.97     -37.69       2.98       1.00       0.00       0.00       0.43       0.20   12.969        './gold_soln_AV-procd_m3991_3.sdf'   'AV-unprocessed.smi:865'
     48.76     -37.65       3.68       1.00       0.00       0.00       1.49       0.04    9.594       './gold_soln_AV-procd_m3992_10.sdf'   'AV-unprocessed.smi:866'
     51.30     -40.09       3.99       0.00       0.00       0.00       0.43       0.09    5.832        './gold_soln_AV-procd_m3993_6.sdf'   'AV-unprocessed.smi:866'
     53.24     -48.89       2.00       0.00       0.00       0.00       0.90       0.12    8.822        './gold_soln_AV-procd_m3994_1.sdf'   'AV-unprocessed.smi:867'
     53.84     -45.37       3.72       0.00       0.00       1.44       0.72       0.13    8.892        './gold_soln_AV-procd_m3995_1.sdf'   'AV-unprocessed.smi:867'
     51.85     -45.47       3.00       0.00       0.00       1.80       0.48       0.14    2.719        './gold_soln_AV-procd_m3996_1.sdf'   'AV-unprocessed.smi:867'
     55.02     -45.98       3.00       1.00       0.00       1.10       0.99       0.11    6.352        './gold_soln_AV-procd_m3997_6.sdf'   'AV-unprocessed.smi:867'
     50.78     -43.84       3.00       0.00       0.00       1.67       0.27       0.11    4.188        './gold_soln_AV-procd_m3998_2.sdf'   'AV-unprocessed.smi:867'
     53.02     -44.46       3.00       0.00       0.00       0.00       0.29       0.13    8.518        './gold_soln_AV-procd_m3999_8.sdf'   'AV-unprocessed.smi:867'
     52.76     -42.06       4.00       0.00       0.00       0.00       0.70       0.11    8.628        './gold_soln_AV-procd_m4000_5.sdf'   'AV-unprocessed.smi:867'
     53.92     -53.29       0.99       0.00       0.00       1.50       0.48       0.11    8.399        './gold_soln_AV-procd_m4001_4.sdf'   'AV-unprocessed.smi:867'
     54.36     -51.53       0.00       1.00       0.00       0.00       0.57       0.87   10.967        './gold_soln_AV-procd_m4002_4.sdf'   'AV-unprocessed.smi:868'
     61.62     -59.93       1.00       0.00       0.00       0.00       0.79       0.11   12.442        './gold_soln_AV-procd_m4003_1.sdf'   'AV-unprocessed.smi:869'
     55.96     -56.11       1.00       0.00       0.00       0.00       1.61       0.06   12.396        './gold_soln_AV-procd_m4004_7.sdf'   'AV-unprocessed.smi:869'
     59.81     -55.48       1.98       0.00       0.00       0.00       0.83       0.05   12.672       './gold_soln_AV-procd_m4005_10.sdf'   'AV-unprocessed.smi:869'
     56.84     -50.21       3.00       0.00       0.00       0.00       1.28       0.18    5.044        './gold_soln_AV-procd_m4006_2.sdf'   'AV-unprocessed.smi:869'
     57.03     -53.13       2.00       0.00       0.00       0.00       1.11       0.11   12.243        './gold_soln_AV-procd_m4007_8.sdf'   'AV-unprocessed.smi:870'
     56.35     -54.32       1.05       0.00       0.00       0.00       0.64       0.16   12.286        './gold_soln_AV-procd_m4008_5.sdf'   'AV-unprocessed.smi:870'
     56.90     -48.85       3.71       0.00       0.00       0.00       1.60       0.12   12.457       './gold_soln_AV-procd_m4009_10.sdf'   'AV-unprocessed.smi:870'
     59.63     -51.81       3.54       0.00       0.00       0.00       1.43       0.06   12.491        './gold_soln_AV-procd_m4010_3.sdf'   'AV-unprocessed.smi:870'
     41.33     -29.85       3.00       1.00       0.00       0.00       0.26       0.01    4.636        './gold_soln_AV-procd_m4011_5.sdf'   'AV-unprocessed.smi:871'
     48.53     -33.24       3.44       1.98       0.00       0.00       0.53       0.10    1.439        './gold_soln_AV-procd_m4012_3.sdf'   'AV-unprocessed.smi:872'
     47.86     -34.27       5.00       0.00       0.00       0.00       0.76       0.11    1.787        './gold_soln_AV-procd_m4013_2.sdf'   'AV-unprocessed.smi:872'
     49.42     -35.79       3.96       1.00       0.00       0.00       1.32       1.39    3.093        './gold_soln_AV-procd_m4014_4.sdf'   'AV-unprocessed.smi:873'
     48.56     -37.39       4.12       0.00       0.00       0.00       1.30       1.40    2.500        './gold_soln_AV-procd_m4015_3.sdf'   'AV-unprocessed.smi:873'
     46.36     -34.48       3.00       1.00       0.00       0.00       0.70       1.28    6.449        './gold_soln_AV-procd_m4016_7.sdf'   'AV-unprocessed.smi:873'
     47.13     -41.85       2.00       0.00       0.00       0.00       0.38       0.04    2.279        './gold_soln_AV-procd_m4017_4.sdf'   'AV-unprocessed.smi:874'
     47.19     -39.38       2.83       0.00       0.00       0.00       0.35       0.02    8.606        './gold_soln_AV-procd_m4018_8.sdf'   'AV-unprocessed.smi:875'
     49.92     -41.01       4.06       0.00       0.00       0.00       1.65       0.02    8.132        './gold_soln_AV-procd_m4019_5.sdf'   'AV-unprocessed.smi:876'
     52.17     -44.59       2.98       0.00       0.00       0.00       0.68       0.02    4.063        './gold_soln_AV-procd_m4020_5.sdf'   'AV-unprocessed.smi:876'
     52.11     -41.74       3.74       0.00       0.00       0.00       0.44       0.02    8.535        './gold_soln_AV-procd_m4021_3.sdf'   'AV-unprocessed.smi:876'
     47.44     -36.19       4.00       0.00       0.00       0.00       0.39       0.02    8.261        './gold_soln_AV-procd_m4022_2.sdf'   'AV-unprocessed.smi:876'
     46.27     -40.31       2.65       0.00       0.00       0.00       1.01       0.02    8.577        './gold_soln_AV-procd_m4023_1.sdf'   'AV-unprocessed.smi:876'
     49.91     -39.73       3.81       0.00       0.00       0.00       0.64       0.01    7.694        './gold_soln_AV-procd_m4024_7.sdf'   'AV-unprocessed.smi:876'
     48.27     -38.50       3.63       0.00       0.00       0.00       0.57       0.02    8.667        './gold_soln_AV-procd_m4025_2.sdf'   'AV-unprocessed.smi:876'
     53.62     -42.87       3.86       0.00       0.00       0.00       0.42       0.02    8.527        './gold_soln_AV-procd_m4026_8.sdf'   'AV-unprocessed.smi:876'
     52.51     -48.34       2.00       0.00       0.00       0.00       0.94       0.04   12.148        './gold_soln_AV-procd_m4027_6.sdf'   'AV-unprocessed.smi:877'
     55.24     -48.13       2.93       0.00       0.00       0.00       0.89       0.09   12.188        './gold_soln_AV-procd_m4028_6.sdf'   'AV-unprocessed.smi:877'
     64.98     -52.16       5.00       0.00       0.00       0.00       1.11       0.04   11.042        './gold_soln_AV-procd_m4029_9.sdf'   'AV-unprocessed.smi:877'
     63.86     -50.40       5.00       0.00       0.00       0.00       0.84       0.05    3.643        './gold_soln_AV-procd_m4030_1.sdf'   'AV-unprocessed.smi:877'
     53.63     -49.00       1.88       0.00       0.00       0.00       0.52       0.02    8.307        './gold_soln_AV-procd_m4031_4.sdf'   'AV-unprocessed.smi:878'
     52.12     -48.04       1.00       1.00       0.00       0.06       0.94       0.03    8.331        './gold_soln_AV-procd_m4032_5.sdf'   'AV-unprocessed.smi:878'
     50.82     -42.87       2.96       0.00       0.00       0.00       0.49       0.04    6.820        './gold_soln_AV-procd_m4033_6.sdf'   'AV-unprocessed.smi:879'
     43.85     -38.96       0.94       0.96       0.00       0.00       0.44       0.06    6.582        './gold_soln_AV-procd_m4034_4.sdf'   'AV-unprocessed.smi:880'
     39.01     -36.33       0.23       0.96       0.00       0.00       0.44       0.01    1.796        './gold_soln_AV-procd_m4035_1.sdf'   'AV-unprocessed.smi:881'
     46.64     -35.31       2.94       1.01       0.00       0.00       0.27       0.01    6.182        './gold_soln_AV-procd_m4036_6.sdf'   'AV-unprocessed.smi:881'
